Data,Valor
21/02/2024,0.0648
22/02/2024,0.0651
23/02/2024,0.0635
24/02/2024,0.0340
25/02/2024,0.0340
26/02/2024,0.0627
27/02/2024,0.0623
28/02/2024,0.0612
29/02/2024,0.0620
01/03/2024,0.0331
01/03/2024,0.0331
01/03/2024,0.0331
02/03/2024,0.0300
03/03/2024,0.0562
04/03/2024,0.0824
05/03/2024,0.0812
06/03/2024,0.0780
07/03/2024,0.0473
08/03/2024,0.0196
09/03/2024,0.0548
10/03/2024,0.0805
11/03/2024,0.1062
12/03/2024,0.1130
13/03/2024,0.1100
14/03/2024,0.0821
15/03/2024,0.0519
16/03/2024,0.0501
17/03/2024,0.0759
18/03/2024,0.1017
19/03/2024,0.0985
20/03/2024,0.0935
21/03/2024,0.0628
22/03/2024,0.0340
23/03/2024,0.0514
24/03/2024,0.0869
25/03/2024,0.1125
26/03/2024,0.1100
27/03/2024,0.1061
28/03/2024,0.0785
29/03/2024,0.0515
30/03/2024,0.0769
31/03/2024,0.1023
01/04/2024,0.1023
02/04/2024,0.0857
03/04/2024,0.0850
04/04/2024,0.0807
05/04/2024,0.0462
06/04/2024,0.0227
07/04/2024,0.0486
08/04/2024,0.0843
09/04/2024,0.0840
10/04/2024,0.0836
11/04/2024,0.0808
12/04/2024,0.0569
13/04/2024,0.0211
14/04/2024,0.0567
15/04/2024,0.0824
16/04/2024,0.0844
17/04/2024,0.0599
18/04/2024,0.0672
19/04/2024,0.0362
20/04/2024,0.0101
21/04/2024,0.0363
22/04/2024,0.0626
23/04/2024,0.0605
24/04/2024,0.0627
25/04/2024,0.0621
26/04/2024,0.0365
27/04/2024,0.0088
28/04/2024,0.0350
29/04/2024,0.0611
30/04/2024,0.0590
01/05/2024,0.0512
01/05/2024,0.0870
02/05/2024,0.0870
03/05/2024,0.0521
04/05/2024,0.0487
05/05/2024,0.0844
06/05/2024,0.1103
07/05/2024,0.1082
08/05/2024,0.1060
09/05/2024,0.0834
10/05/2024,0.0488
11/05/2024,0.0342
12/05/2024,0.0604
13/05/2024,0.0865
14/05/2024,0.0885
15/05/2024,0.1143
16/05/2024,0.0643
17/05/2024,0.0385
18/05/2024,0.0382
19/05/2024,0.0646
20/05/2024,0.0911
21/05/2024,0.0921
22/05/2024,0.0904
23/05/2024,0.0640
24/05/2024,0.0394
25/05/2024,0.0416
26/05/2024,0.0682
27/05/2024,0.0947
28/05/2024,0.0909
29/05/2024,0.0892
30/05/2024,0.0631
31/05/2024,0.0631
01/06/2024,0.0365
02/06/2024,0.0626
03/06/2024,0.0887
04/06/2024,0.0857
05/06/2024,0.0849
06/06/2024,0.1133
07/06/2024,0.0603
08/06/2024,0.0391
09/06/2024,0.0655
10/06/2024,0.0920
11/06/2024,0.0883
12/06/2024,0.0963
13/06/2024,0.0945
14/06/2024,0.0676
15/06/2024,0.0399
16/06/2024,0.0660
17/06/2024,0.0922
18/06/2024,0.0920
19/06/2024,0.0936
20/06/2024,0.0956
21/06/2024,0.0653
22/06/2024,0.0389
23/06/2024,0.0652
24/06/2024,0.0915
25/06/2024,0.0894
26/06/2024,0.0906
27/06/2024,0.0916
28/06/2024,0.0686
29/06/2024,0.0399
30/06/2024,0.0664
01/07/2024,0.0703
01/07/2024,0.0739
02/07/2024,0.0740
03/07/2024,0.0742
04/07/2024,0.0703
05/07/2024,0.0669
06/07/2024,0.0668
07/07/2024,0.0705
08/07/2024,0.0742
09/07/2024,0.0744
10/07/2024,0.0748
11/07/2024,0.0707
12/07/2024,0.0670
13/07/2024,0.0670
14/07/2024,0.0707
15/07/2024,0.0744
16/07/2024,0.0744
17/07/2024,0.0745
18/07/2024,0.0709
19/07/2024,0.0671
20/07/2024,0.0671
21/07/2024,0.0708
22/07/2024,0.0745
23/07/2024,0.0745
24/07/2024,0.0754
25/07/2024,0.0710
26/07/2024,0.0673
27/07/2024,0.0671
28/07/2024,0.0708
29/07/2024,0.0745
30/07/2024,0.0744
31/07/2024,0.0743
01/08/2024,0.0707
02/08/2024,0.0668
03/08/2024,0.0668
04/08/2024,0.0705
05/08/2024,0.0742
06/08/2024,0.0742
07/08/2024,0.0743
